DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/1/2005,117.37,117.37,117.37,117.37,2934
1/2/2005,111.64,111.64,111.64,111.64,1563
1/3/2005,110.31,110.31,110.31,110.31,1875
1/4/2005,113.41,113.41,113.41,113.41,8279
1/5/2005,112.36,112.36,112.36,112.36,6741
1/6/2005,113.03,113.03,113.03,113.03,7573
1/7/2005,110.70,110.70,110.70,110.70,10074
1/8/2005,117.46,117.46,117.46,117.46,7048
1/9/2005,118.95,118.95,118.95,118.95,1308
1/10/2005,119.67,119.67,119.67,119.67,3351
1/11/2005,117.09,117.09,117.09,117.09,8313
1/12/2005,110.34,110.34,110.34,110.34,5958
1/13/2005,109.65,109.65,109.65,109.65,3070
1/14/2005,110.86,110.86,110.86,110.86,3326
1/15/2005,114.17,114.17,114.17,114.17,10161
1/16/2005,111.20,111.20,111.20,111.20,7339
1/17/2005,110.57,110.57,110.57,110.57,10946
1/18/2005,113.12,113.12,113.12,113.12,8597
1/19/2005,113.12,113.12,113.12,113.12,2828
1/20/2005,118.84,118.84,118.84,118.84,9626
1/21/2005,112.55,112.55,112.55,112.55,6866
1/22/2005,110.11,110.11,110.11,110.11,10130
1/23/2005,116.82,116.82,116.82,116.82,9579
1/24/2005,115.33,115.33,115.33,115.33,5421
1/25/2005,108.77,108.77,108.77,108.77,9898
1/26/2005,113.35,113.35,113.35,113.35,8955
1/27/2005,115.29,115.29,115.29,115.29,5765
1/28/2005,114.20,114.20,114.20,114.20,1599
1/29/2005,109.15,109.15,109.15,109.15,7641
1/30/2005,108.34,108.34,108.34,108.34,9100
1/31/2005,117.29,117.29,117.29,117.29,2346
2/1/2005,110.05,110.05,110.05,110.05,4512
2/2/2005,111.29,111.29,111.29,111.29,7901
2/3/2005,112.58,112.58,112.58,112.58,1914
2/4/2005,112.41,112.41,112.41,112.41,1349
2/5/2005,108.77,108.77,108.77,108.77,8267
2/6/2005,107.32,107.32,107.32,107.32,3005
2/7/2005,115.28,115.28,115.28,115.28,2767
2/8/2005,112.27,112.27,112.27,112.27,2694
2/9/2005,113.44,113.44,113.44,113.44,3176
2/10/2005,111.72,111.72,111.72,111.72,8267
2/11/2005,108.29,108.29,108.29,108.29,6497
2/12/2005,110.04,110.04,110.04,110.04,5062
2/13/2005,115.19,115.19,115.19,115.19,8063
2/14/2005,109.73,109.73,109.73,109.73,4389
2/15/2005,111.93,111.93,111.93,111.93,8395
2/16/2005,106.80,106.80,106.80,106.80,2456
