DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/1/2005,115.70,115.70,115.70,115.70,8099
1/2/2005,118.96,118.96,118.96,118.96,9874
1/3/2005,118.44,118.44,118.44,118.44,3198
1/4/2005,117.76,117.76,117.76,117.76,9774
1/5/2005,116.01,116.01,116.01,116.01,2088
1/6/2005,112.61,112.61,112.61,112.61,10135
1/7/2005,112.49,112.49,112.49,112.49,9224
1/8/2005,111.69,111.69,111.69,111.69,7372
1/9/2005,115.77,115.77,115.77,115.77,8567
1/10/2005,110.04,110.04,110.04,110.04,3081
1/11/2005,111.10,111.10,111.10,111.10,7888
1/12/2005,112.62,112.62,112.62,112.62,10812
1/13/2005,110.10,110.10,110.10,110.10,4074
1/14/2005,115.43,115.43,115.43,115.43,9927
1/15/2005,118.60,118.60,118.60,118.60,6997
1/16/2005,118.21,118.21,118.21,118.21,1537
1/17/2005,118.66,118.66,118.66,118.66,7119
1/18/2005,113.15,113.15,113.15,113.15,3847
1/19/2005,118.48,118.48,118.48,118.48,1896
1/20/2005,112.58,112.58,112.58,112.58,8443
1/21/2005,109.04,109.04,109.04,109.04,5234
1/22/2005,118.32,118.32,118.32,118.32,5561
1/23/2005,116.72,116.72,116.72,116.72,4786
1/24/2005,110.39,110.39,110.39,110.39,3643
1/25/2005,110.69,110.69,110.69,110.69,4981
1/26/2005,110.86,110.86,110.86,110.86,5432
1/27/2005,112.11,112.11,112.11,112.11,7511
1/28/2005,110.48,110.48,110.48,110.48,9943
1/29/2005,111.86,111.86,111.86,111.86,10515
1/30/2005,115.55,115.55,115.55,115.55,6702
1/31/2005,113.83,113.83,113.83,113.83,10586
2/1/2005,116.69,116.69,116.69,116.69,1750
2/2/2005,109.62,109.62,109.62,109.62,3289
2/3/2005,117.03,117.03,117.03,117.03,8426
2/4/2005,111.36,111.36,111.36,111.36,10245
2/5/2005,114.06,114.06,114.06,114.06,6502
2/6/2005,110.57,110.57,110.57,110.57,3980
2/7/2005,108.85,108.85,108.85,108.85,8055
2/8/2005,114.02,114.02,114.02,114.02,10148
2/9/2005,108.15,108.15,108.15,108.15,7786
2/10/2005,107.72,107.72,107.72,107.72,4201
2/11/2005,112.64,112.64,112.64,112.64,6308
2/12/2005,109.12,109.12,109.12,109.12,5347
2/13/2005,112.55,112.55,112.55,112.55,4052
2/14/2005,109.13,109.13,109.13,109.13,6002
2/15/2005,114.51,114.51,114.51,114.51,11337
2/16/2005,108.58,108.58,108.58,108.58,9012
2/17/2005,106.60,106.60,106.60,106.60,1812
2/18/2005,110.38,110.38,110.38,110.38,9823
2/19/2005,107.09,107.09,107.09,107.09,6532
2/20/2005,108.76,108.76,108.76,108.76,5764
2/21/2005,113.23,113.23,113.23,113.23,4076
2/22/2005,111.52,111.52,111.52,111.52,8253
2/23/2005,105.22,105.22,105.22,105.22,1789
2/24/2005,108.65,108.65,108.65,108.65,6084
2/25/2005,105.65,105.65,105.65,105.65,5705
2/26/2005,111.71,111.71,111.71,111.71,1676
2/27/2005,107.83,107.83,107.83,107.83,3666
2/28/2005,106.45,106.45,106.45,106.45,4684
3/1/2005,111.04,111.04,111.04,111.04,8772
3/2/2005,108.98,108.98,108.98,108.98,7629
3/3/2005,106.77,106.77,106.77,106.77,9716
3/4/2005,103.29,103.29,103.29,103.29,7437
3/5/2005,105.01,105.01,105.01,105.01,6091
3/6/2005,104.43,104.43,104.43,104.43,2089
3/7/2005,104.54,104.54,104.54,104.54,8990
3/8/2005,109.18,109.18,109.18,109.18,6878
3/9/2005,105.37,105.37,105.37,105.37,7165
3/10/2005,106.92,106.92,106.92,106.92,4277
3/11/2005,110.28,110.28,110.28,110.28,6837
3/12/2005,105.48,105.48,105.48,105.48,6540
3/13/2005,110.29,110.29,110.29,110.29,9154
3/14/2005,105.12,105.12,105.12,105.12,4730
3/15/2005,103.72,103.72,103.72,103.72,3319
3/16/2005,105.53,105.53,105.53,105.53,9076
3/17/2005,109.34,109.34,109.34,109.34,2406
3/18/2005,102.52,102.52,102.52,102.52,5024
3/19/2005,101.16,101.16,101.16,101.16,7486
3/20/2005,102.22,102.22,102.22,102.22,9711
3/21/2005,103.67,103.67,103.67,103.67,10263
3/22/2005,105.91,105.91,105.91,105.91,6143
3/23/2005,109.90,109.90,109.90,109.90,4286
3/24/2005,103.88,103.88,103.88,103.88,3948
3/25/2005,108.88,108.88,108.88,108.88,2831
3/26/2005,108.13,108.13,108.13,108.13,8326
3/27/2005,108.49,108.49,108.49,108.49,10198
3/28/2005,105.99,105.99,105.99,105.99,2650
3/29/2005,104.48,104.48,104.48,104.48,10239
3/30/2005,108.54,108.54,108.54,108.54,6295
3/31/2005,105.89,105.89,105.89,105.89,7095
4/1/2005,105.05,105.05,105.05,105.05,10085
4/2/2005,101.53,101.53,101.53,101.53,3858
4/3/2005,103.31,103.31,103.31,103.31,1446
4/4/2005,107.28,107.28,107.28,107.28,3218
4/5/2005,105.97,105.97,105.97,105.97,6570
4/6/2005,105.41,105.41,105.41,105.41,6009
4/7/2005,100.72,100.72,100.72,100.72,8359
4/8/2005,100.80,100.80,100.80,100.80,8367
4/9/2005,106.68,106.68,106.68,106.68,5974
4/10/2005,105.03,105.03,105.03,105.03,1260
4/11/2005,105.64,105.64,105.64,105.64,1268
4/12/2005,104.91,104.91,104.91,104.91,7134
4/13/2005,100.56,100.56,100.56,100.56,8648
4/14/2005,105.88,105.88,105.88,105.88,10058
4/15/2005,100.35,100.35,100.35,100.35,1104
4/16/2005,109.05,109.05,109.05,109.05,6652
4/17/2005,103.95,103.95,103.95,103.95,6965
4/18/2005,105.30,105.30,105.30,105.30,6108
4/19/2005,104.23,104.23,104.23,104.23,6566
4/20/2005,100.32,100.32,100.32,100.32,3311
4/21/2005,106.23,106.23,106.23,106.23,6692
4/22/2005,106.33,106.33,106.33,106.33,2658
4/23/2005,102.56,102.56,102.56,102.56,3487
4/24/2005,109.22,109.22,109.22,109.22,8301
4/25/2005,101.50,101.50,101.50,101.50,6394
4/26/2005,103.82,103.82,103.82,103.82,3841
4/27/2005,101.06,101.06,101.06,101.06,5862
4/28/2005,101.52,101.52,101.52,101.52,5177
4/29/2005,105.63,105.63,105.63,105.63,5598
4/30/2005,103.57,103.57,103.57,103.57,5282
5/1/2005,105.74,105.74,105.74,105.74,8353
5/2/2005,103.18,103.18,103.18,103.18,6294
5/3/2005,108.13,108.13,108.13,108.13,10381
5/4/2005,102.78,102.78,102.78,102.78,5036
5/5/2005,104.54,104.54,104.54,104.54,6063
5/6/2005,105.69,105.69,105.69,105.69,1691
5/7/2005,106.83,106.83,106.83,106.83,3312
5/8/2005,106.18,106.18,106.18,106.18,10299
5/9/2005,106.21,106.21,106.21,106.21,4036
5/10/2005,106.45,106.45,106.45,106.45,8516
5/11/2005,111.99,111.99,111.99,111.99,9631
5/12/2005,110.90,110.90,110.90,110.90,5323
5/13/2005,109.38,109.38,109.38,109.38,6891
5/14/2005,108.00,108.00,108.00,108.00,9288
5/15/2005,108.33,108.33,108.33,108.33,1517
5/16/2005,103.49,103.49,103.49,103.49,9521
5/17/2005,106.36,106.36,106.36,106.36,6169
5/18/2005,111.13,111.13,111.13,111.13,9335
5/19/2005,107.23,107.23,107.23,107.23,1180
5/20/2005,108.30,108.30,108.30,108.30,3466
5/21/2005,104.94,104.94,104.94,104.94,5142
5/22/2005,108.05,108.05,108.05,108.05,6375
5/23/2005,105.79,105.79,105.79,105.79,3385
5/24/2005,111.95,111.95,111.95,111.95,9068
5/25/2005,105.20,105.20,105.20,105.20,1999
5/26/2005,104.70,104.70,104.70,104.70,2513
5/27/2005,104.98,104.98,104.98,104.98,5564
5/28/2005,109.52,109.52,109.52,109.52,7119
5/29/2005,113.93,113.93,113.93,113.93,9001
5/30/2005,113.85,113.85,113.85,113.85,2049
5/31/2005,109.35,109.35,109.35,109.35,3936
6/1/2005,114.07,114.07,114.07,114.07,3650
6/2/2005,110.26,110.26,110.26,110.26,5954
6/3/2005,113.00,113.00,113.00,113.00,10961
6/4/2005,110.17,110.17,110.17,110.17,7051
6/5/2005,111.70,111.70,111.70,111.70,5138
6/6/2005,114.41,114.41,114.41,114.41,2975
6/7/2005,112.69,112.69,112.69,112.69,6536
6/8/2005,110.57,110.57,110.57,110.57,4091
6/9/2005,108.96,108.96,108.96,108.96,5339
6/10/2005,114.75,114.75,114.75,114.75,8721
6/11/2005,114.34,114.34,114.34,114.34,5717
6/12/2005,107.21,107.21,107.21,107.21,9756
6/13/2005,115.87,115.87,115.87,115.87,9965
6/14/2005,107.87,107.87,107.87,107.87,2697
6/15/2005,116.58,116.58,116.58,116.58,7578
6/16/2005,108.90,108.90,108.90,108.90,4900
6/17/2005,116.04,116.04,116.04,116.04,9864
6/18/2005,113.45,113.45,113.45,113.45,2836
6/19/2005,108.69,108.69,108.69,108.69,7826
6/20/2005,113.19,113.19,113.19,113.19,9395
6/21/2005,111.79,111.79,111.79,111.79,5925
6/22/2005,113.59,113.59,113.59,113.59,7497
6/23/2005,111.70,111.70,111.70,111.70,9718
6/24/2005,116.93,116.93,116.93,116.93,10991
6/25/2005,110.68,110.68,110.68,110.68,7084
6/26/2005,114.06,114.06,114.06,114.06,5589
6/27/2005,111.74,111.74,111.74,111.74,7822
6/28/2005,114.40,114.40,114.40,114.40,5377
6/29/2005,111.34,111.34,111.34,111.34,6792
6/30/2005,115.31,115.31,115.31,115.31,10262
7/1/2005,118.33,118.33,118.33,118.33,3905
7/2/2005,116.23,116.23,116.23,116.23,11158
7/3/2005,112.10,112.10,112.10,112.10,5493
7/4/2005,112.93,112.93,112.93,112.93,9260
7/5/2005,119.30,119.30,119.30,119.30,3698
7/6/2005,111.87,111.87,111.87,111.87,6600
7/7/2005,118.96,118.96,118.96,118.96,11658
7/8/2005,113.51,113.51,113.51,113.51,3746
7/9/2005,119.02,119.02,119.02,119.02,5356
7/10/2005,115.54,115.54,115.54,115.54,1271
7/11/2005,109.95,109.95,109.95,109.95,2199
7/12/2005,119.60,119.60,119.60,119.60,4545
7/13/2005,110.79,110.79,110.79,110.79,7977
7/14/2005,110.96,110.96,110.96,110.96,2663
7/15/2005,112.90,112.90,112.90,112.90,2484
7/16/2005,119.45,119.45,119.45,119.45,6450
7/17/2005,110.78,110.78,110.78,110.78,7312
7/18/2005,119.07,119.07,119.07,119.07,2143
7/19/2005,117.95,117.95,117.95,117.95,7195
7/20/2005,113.53,113.53,113.53,113.53,10105
7/21/2005,115.14,115.14,115.14,115.14,1382
7/22/2005,119.63,119.63,119.63,119.63,11484
7/23/2005,113.74,113.74,113.74,113.74,11146
7/24/2005,115.05,115.05,115.05,115.05,4257
7/25/2005,112.88,112.88,112.88,112.88,3951
7/26/2005,114.82,114.82,114.82,114.82,9645
7/27/2005,109.86,109.86,109.86,109.86,7031
7/28/2005,118.55,118.55,118.55,118.55,9603
7/29/2005,112.67,112.67,112.67,112.67,4957
7/30/2005,118.40,118.40,118.40,118.40,7341
7/31/2005,113.04,113.04,113.04,113.04,2939
8/1/2005,114.71,114.71,114.71,114.71,9750
8/2/2005,112.46,112.46,112.46,112.46,8435
8/3/2005,114.12,114.12,114.12,114.12,4222
8/4/2005,110.18,110.18,110.18,110.18,3856
8/5/2005,113.96,113.96,113.96,113.96,4673
8/6/2005,109.65,109.65,109.65,109.65,7785
8/7/2005,114.12,114.12,114.12,114.12,11184
8/8/2005,110.57,110.57,110.57,110.57,1106
8/9/2005,118.29,118.29,118.29,118.29,2248
8/10/2005,110.67,110.67,110.67,110.67,9075
8/11/2005,117.37,117.37,117.37,117.37,1174
8/12/2005,115.13,115.13,115.13,115.13,2303
8/13/2005,113.51,113.51,113.51,113.51,5902
8/14/2005,115.93,115.93,115.93,115.93,2319
8/15/2005,116.36,116.36,116.36,116.36,5469
8/16/2005,115.21,115.21,115.21,115.21,9102
8/17/2005,113.54,113.54,113.54,113.54,4428
8/18/2005,113.15,113.15,113.15,113.15,2376
8/19/2005,114.50,114.50,114.50,114.50,7786
8/20/2005,112.87,112.87,112.87,112.87,3160
8/21/2005,109.75,109.75,109.75,109.75,1207
8/22/2005,115.58,115.58,115.58,115.58,2543
8/23/2005,115.17,115.17,115.17,115.17,4376
8/24/2005,108.18,108.18,108.18,108.18,9737
8/25/2005,113.40,113.40,113.40,113.40,3969
8/26/2005,111.31,111.31,111.31,111.31,8793
8/27/2005,110.67,110.67,110.67,110.67,6419
8/28/2005,109.81,109.81,109.81,109.81,6039
8/29/2005,108.25,108.25,108.25,108.25,2815
8/30/2005,108.56,108.56,108.56,108.56,10747
8/31/2005,111.63,111.63,111.63,111.63,10716
9/1/2005,110.72,110.72,110.72,110.72,1550
9/2/2005,112.31,112.31,112.31,112.31,3818
9/3/2005,107.03,107.03,107.03,107.03,2676
9/4/2005,110.04,110.04,110.04,110.04,1210
9/5/2005,108.72,108.72,108.72,108.72,3805
9/6/2005,110.99,110.99,110.99,110.99,10766
9/7/2005,110.80,110.80,110.80,110.80,9529
9/8/2005,106.77,106.77,106.77,106.77,5873
9/9/2005,107.93,107.93,107.93,107.93,2806
9/10/2005,108.23,108.23,108.23,108.23,9307
9/11/2005,109.11,109.11,109.11,109.11,6219
9/12/2005,113.90,113.90,113.90,113.90,10706
9/13/2005,107.84,107.84,107.84,107.84,1078
9/14/2005,103.91,103.91,103.91,103.91,1143
9/15/2005,113.20,113.20,113.20,113.20,6113
9/16/2005,107.78,107.78,107.78,107.78,6143
9/17/2005,109.98,109.98,109.98,109.98,3519
9/18/2005,108.66,108.66,108.66,108.66,8475
9/19/2005,108.03,108.03,108.03,108.03,6050
9/20/2005,104.76,104.76,104.76,104.76,9847
9/21/2005,107.28,107.28,107.28,107.28,6973
9/22/2005,112.15,112.15,112.15,112.15,2692
9/23/2005,104.43,104.43,104.43,104.43,5013
9/24/2005,112.05,112.05,112.05,112.05,5826
9/25/2005,105.41,105.41,105.41,105.41,7379
9/26/2005,110.75,110.75,110.75,110.75,1550
9/27/2005,108.28,108.28,108.28,108.28,7904
9/28/2005,106.86,106.86,106.86,106.86,10152
9/29/2005,102.65,102.65,102.65,102.65,7596
9/30/2005,110.60,110.60,110.60,110.60,2323
10/1/2005,103.29,103.29,103.29,103.29,5061
10/2/2005,102.24,102.24,102.24,102.24,8792
10/3/2005,110.03,110.03,110.03,110.03,1540
10/4/2005,104.47,104.47,104.47,104.47,4074
10/5/2005,104.29,104.29,104.29,104.29,5006
10/6/2005,101.26,101.26,101.26,101.26,8304
10/7/2005,101.04,101.04,101.04,101.04,4951
