DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/1/2005,111.07,111.07,111.07,111.07,9552
1/2/2005,119.24,119.24,119.24,119.24,9062
1/3/2005,113.17,113.17,113.17,113.17,5206
1/4/2005,116.96,116.96,116.96,116.96,2222
1/5/2005,113.92,113.92,113.92,113.92,5924
1/6/2005,113.61,113.61,113.61,113.61,5567
1/7/2005,111.45,111.45,111.45,111.45,3566
1/8/2005,117.81,117.81,117.81,117.81,2003
1/9/2005,111.86,111.86,111.86,111.86,1790
1/10/2005,115.81,115.81,115.81,115.81,9496
1/11/2005,110.38,110.38,110.38,110.38,2539
1/12/2005,119.42,119.42,119.42,119.42,6927
1/13/2005,116.52,116.52,116.52,116.52,10370
1/14/2005,117.23,117.23,117.23,117.23,5158
1/15/2005,112.98,112.98,112.98,112.98,8021
1/16/2005,110.28,110.28,110.28,110.28,9815
1/17/2005,111.69,111.69,111.69,111.69,10946
1/18/2005,109.62,109.62,109.62,109.62,10742
1/19/2005,112.84,112.84,112.84,112.84,5981
1/20/2005,109.90,109.90,109.90,109.90,2198
1/21/2005,109.36,109.36,109.36,109.36,2843
1/22/2005,113.86,113.86,113.86,113.86,7857
1/23/2005,111.79,111.79,111.79,111.79,8384
1/24/2005,114.65,114.65,114.65,114.65,7796
1/25/2005,118.42,118.42,118.42,118.42,7697
1/26/2005,110.58,110.58,110.58,110.58,3539
1/27/2005,115.19,115.19,115.19,115.19,8063
1/28/2005,115.51,115.51,115.51,115.51,11089
1/29/2005,116.84,116.84,116.84,116.84,5258
1/30/2005,108.40,108.40,108.40,108.40,5312
1/31/2005,114.19,114.19,114.19,114.19,4339
2/1/2005,115.20,115.20,115.20,115.20,8525
2/2/2005,111.42,111.42,111.42,111.42,5905
2/3/2005,109.38,109.38,109.38,109.38,2735
2/4/2005,109.41,109.41,109.41,109.41,9081
2/5/2005,114.22,114.22,114.22,114.22,8567
2/6/2005,116.85,116.85,116.85,116.85,6193
2/7/2005,114.52,114.52,114.52,114.52,10193
2/8/2005,113.16,113.16,113.16,113.16,4300
2/9/2005,108.84,108.84,108.84,108.84,10558
2/10/2005,109.22,109.22,109.22,109.22,2184
2/11/2005,110.17,110.17,110.17,110.17,8373
2/12/2005,110.77,110.77,110.77,110.77,9416
