DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/1/2005,111.10,111.10,111.10,111.10,1333
1/2/2005,112.58,112.58,112.58,112.58,2702
1/3/2005,118.65,118.65,118.65,118.65,7356
1/4/2005,114.42,114.42,114.42,114.42,6751
1/5/2005,118.38,118.38,118.38,118.38,5919
1/6/2005,114.77,114.77,114.77,114.77,10100
1/7/2005,119.69,119.69,119.69,119.69,7062
1/8/2005,116.24,116.24,116.24,116.24,4301
1/9/2005,119.22,119.22,119.22,119.22,2742
1/10/2005,115.42,115.42,115.42,115.42,9464
1/11/2005,116.06,116.06,116.06,116.06,3366
1/12/2005,117.31,117.31,117.31,117.31,10910
1/13/2005,110.75,110.75,110.75,110.75,9193
1/14/2005,113.19,113.19,113.19,113.19,1585
1/15/2005,115.59,115.59,115.59,115.59,9016
1/16/2005,113.54,113.54,113.54,113.54,6813
1/17/2005,115.49,115.49,115.49,115.49,11203
1/18/2005,116.07,116.07,116.07,116.07,4062
1/19/2005,115.07,115.07,115.07,115.07,4488
1/20/2005,113.72,113.72,113.72,113.72,4435
1/21/2005,111.09,111.09,111.09,111.09,1111
1/22/2005,110.12,110.12,110.12,110.12,2092
1/23/2005,108.89,108.89,108.89,108.89,7622
1/24/2005,116.90,116.90,116.90,116.90,10638
1/25/2005,117.39,117.39,117.39,117.39,3756
1/26/2005,109.30,109.30,109.30,109.30,10712
1/27/2005,117.55,117.55,117.55,117.55,9757
1/28/2005,110.03,110.03,110.03,110.03,9903
1/29/2005,110.73,110.73,110.73,110.73,4429
1/30/2005,108.37,108.37,108.37,108.37,1517
1/31/2005,109.93,109.93,109.93,109.93,4947
2/1/2005,117.05,117.05,117.05,117.05,1990
2/2/2005,107.89,107.89,107.89,107.89,10033
2/3/2005,109.95,109.95,109.95,109.95,1099
2/4/2005,115.89,115.89,115.89,115.89,4867
2/5/2005,114.26,114.26,114.26,114.26,7427
2/6/2005,113.84,113.84,113.84,113.84,3529
2/7/2005,112.77,112.77,112.77,112.77,7555
2/8/2005,107.60,107.60,107.60,107.60,7424
2/9/2005,115.66,115.66,115.66,115.66,5667
2/10/2005,116.32,116.32,116.32,116.32,5932
2/11/2005,107.95,107.95,107.95,107.95,4534
2/12/2005,112.80,112.80,112.80,112.80,5415
2/13/2005,112.28,112.28,112.28,112.28,9095
2/14/2005,113.72,113.72,113.72,113.72,9211
2/15/2005,105.76,105.76,105.76,105.76,3490
2/16/2005,108.31,108.31,108.31,108.31,5091
2/17/2005,106.47,106.47,106.47,106.47,8944
2/18/2005,105.79,105.79,105.79,105.79,1375
2/19/2005,105.70,105.70,105.70,105.70,1797
2/20/2005,109.04,109.04,109.04,109.04,9160
2/21/2005,105.09,105.09,105.09,105.09,5990
2/22/2005,109.89,109.89,109.89,109.89,5714
2/23/2005,107.37,107.37,107.37,107.37,7623
2/24/2005,106.51,106.51,106.51,106.51,6284
2/25/2005,112.10,112.10,112.10,112.10,7174
2/26/2005,108.13,108.13,108.13,108.13,6921
2/27/2005,104.32,104.32,104.32,104.32,8032
2/28/2005,105.82,105.82,105.82,105.82,6455
3/1/2005,107.59,107.59,107.59,107.59,6886
3/2/2005,106.23,106.23,106.23,106.23,5418
3/3/2005,105.26,105.26,105.26,105.26,1684
3/4/2005,106.48,106.48,106.48,106.48,5324
3/5/2005,106.17,106.17,106.17,106.17,3610
3/6/2005,103.96,103.96,103.96,103.96,8213
3/7/2005,108.32,108.32,108.32,108.32,1516
3/8/2005,108.37,108.37,108.37,108.37,9103
3/9/2005,102.54,102.54,102.54,102.54,2564
3/10/2005,106.42,106.42,106.42,106.42,7236
3/11/2005,110.35,110.35,110.35,110.35,2979
3/12/2005,103.24,103.24,103.24,103.24,9808
3/13/2005,107.50,107.50,107.50,107.50,3440
3/14/2005,111.57,111.57,111.57,111.57,5132
3/15/2005,109.95,109.95,109.95,109.95,7806
3/16/2005,105.09,105.09,105.09,105.09,4519
3/17/2005,107.37,107.37,107.37,107.37,5798
3/18/2005,107.53,107.53,107.53,107.53,5591
